Period,USD
1,35.18
2,35.16
3,35.14
4,35.14
5,35.14
6,35.14
7,35.15
8,35.17
9,35.18
10,35.18
11,35.19
12,35.2
13,35.2
14,35.19
15,35.19
16,35.19
17,35.2
18,35.2
19,35.2
20,35.19
21,35.19
22,35.2
23,35.2
24,35.2
25,35.19
26,35.19
27,35.2
28,35.19
29,35.2
30,35.19
31,35.19
32,35.2
33,35.2
34,35.2
35,35.2
36,35.2
37,35.2
38,35.2
39,35.2
40,35.2
41,35.2
42,35.2
43,35.2
44,35.2
45,35.2
46,35.2
47,35.2
48,35.2
49,35.2
50,35.2
51,35.2
52,35.2
53,35.2
54,38
55,37.6
56,37.7
57,36.7
58,37.2
59,37
60,37.25
61,37.6
62,38.05
63,38.1
64,38
65,37.6
66,37.65
67,38.3
68,38.05
69,38.35
70,38.25
71,38.5
72,38.55
73,39.1
74,39.1
75,39.25
76,39.6
77,39.7
78,39.3
79,39.5
80,39.7
81,39.8
82,39.4
83,39.6
84,40.1
85,40.85
86,41.6
87,42
88,42.6
89,42.2
90,41.5
91,41.75
92,41.5
93,41.6
94,41.5
95,41.75
96,42
97,41.2
98,41.4
99,41.25
100,41.2
101,41.35
102,41.3
103,42.1
104,41.4
105,40.2
106,40.9
107,40.7
108,41.4
109,41.05
110,41.05
111,41.05
112,40.85
113,40.95
114,40.8
115,40.95
116,40.9
117,40.85
118,40.9
119,41.05
120,41.1
121,40.95
122,40.6
123,40.15
124,39.4
125,39.1
126,39.15
127,38.9
128,37.8
129,38
130,39.1
131,38.65
132,38.65
133,39.2
134,39.1
135,38.75
136,38.9
137,39.1
138,38.9
139,38.8
140,38.8
141,38.85
142,38.85
143,38.8
144,38.55
145,38.45
146,38.6
147,38.75
148,38.95
149,39
150,39.1
151,39.15
152,39.35
153,40.3
154,39.65
155,39.65
156,39.4
157,39.55
158,39.55
159,39.8
160,39.85
161,39.98
162,39.9
163,39.95
164,40
165,40
166,40
167,40
168,40.05
169,40.17
170,40.2
171,40.55
172,40.45
173,40.52
174,40.5
175,40.42
176,40.48
177,40.42
178,40.45
179,40.3
180,39.7
181,39.6
182,38.3
183,39
184,38.9
185,39.8
186,39.75
187,39.2
188,38.83
189,39.2
190,39.3
191,39.2
192,38.95
193,39.2
194,39.4
195,39.1
196,38.95
197,39.17
198,39.2
199,39.3
200,39.38
201,39.6
202,39.3
203,39.2
204,38.9
205,39.25
206,39.33
207,39.5
208,39.52
209,39.4
210,39.5
211,39.73
212,39.75
213,39.75
214,40
215,40
216,40.05
217,40.75
218,40.25
219,40.2
220,40.3
221,40.08
222,39.75
223,39.85
224,39.85
225,39.9
226,40.15
227,40.77
228,40.45
229,40.35
230,40.62
231,40.67
232,40.75
233,41.3
234,40.9
235,40.98
236,41.2
237,41.83
238,41.67
239,41.65
240,41.7
241,41.7
242,41.7
243,42
244,41.95
245,41.8
246,41.9
247,42.02
248,42.1
249,42.45
250,42.48
251,42.3
252,42
253,42.4
254,42.75
255,42.7
256,41.9
257,42.2
258,42.4
259,42.6
260,42.2
261,42
262,42.2
263,42.45
264,42.45
265,42.55
266,42.55
267,42.5
268,42.48
269,42.7
270,42.62
271,42.55
272,42.55
273,42.52
274,42.6
275,42.55
276,42.5
277,42.65
278,42.62
279,42.65
280,42.6
281,42.62
282,42.7
283,42.67
284,42.7
285,42.75
286,42.77
287,42.75
288,42.75
289,42.9
290,43.25
291,43.6
